"MATR_ALUNO";"COD_CURSO";"ANO";"PERIODO";"COD_ATIV_CURRIC";"NOME_ATIV_CURRIC";"CREDITOS";"MEDIA_FINAL";"DESCR_SITUACAO";"TOTAL_CARGA_HORARIA";"FORMA_INGRESSO";"ANO_INGRESSO";"FORMA_EVASAO";"ANO_EVASAO";"SEXO"
"e4fd20e9a1ca33d98dedfa75197a462d652e89c161f448064fc44bef40d9caf1ea4081015d17ef4c4aa7ec5357f711de06c33cbee77be203efcd72d7c773ec0fee293b67266e3f19b3db613b0b8a8b5b477e693fc5726fd99aa04b18616372cc4da2d4f7ccd4155db4dc9508ec48786017d24da6ad0c78f52b64c872018a3adfd1144602e7b5d5249ac8c3b9089d153ebb3058182e7705c5590b7c22787e331e8d420abd8cc1c5236daae143510956de5bd021d4b68f256e59c80369645b19dedf9fdd4ae1666b6b6cefadf4bc42c676f1c2ff108adbfa780d742a55e56f8017f49a6ea19102015f26c3bca8d0834c3561f9ba769190c6198b05d4146513fca4";"BALF";2013;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;1.4;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2012;"Abandono";2014;"M"
"bac09d060aeb5839b08d4321e38f8ce587fe9ba0414fd5e7d5cbd76780361318b1620795bf560761976455590fcd70c20947f606dfac045af478d767467c966f4740e7db43f57650a72814d827df91b4d7ecd57b83005e0b1a5910aa6092b58d78f91ae0b59269acffc3ab099f268a1d3fcd581b96db4677d80fba21115edbb4e63016fde163e16d8205a35c4ab18f5421dcb02d0032a9f16b55c912c2ebcd2e989bb3cf2a672457391978d0f63a135cf1290416e03a8b4fff7a67365b32598c5c9949fb96d0280a1c23b9c6e73be0503e915f50830c181181da89dc0256aa958273375e3c9b9ac97130035aa63d275a2bc6dd3a5e9fed754a94aabb18b76bef";"BALF";2012;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;6;"Aprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2012;"Transf. Interna Por Reopção de Curso";2013;"F"
"09bf6fafd1b052bd224cbfdd4b21940db8a0f503ee4a43bf965b77cb7d49e05265129c963a71de0e6548b4ed85b58f9a804de0ec596473032b3ff6a7e25eab9b32c6740fdf21993964b090070931f1cb2a1560a8744de2b35e71ea8122fd2f84cddda6b690fd1d244ff28500a417a7e307777c0ef6fe7c64616742704b8862547018d42e698314bfe7781f9497f89186cb801fb42e52201e210e88380f0b407fb5b1000ade349ed8b7c8a2878d9c7959dd77bc8730fdac05d16ea85ceb3731e4c4f06c71dcf909b9e0a893d201ab0cfef9c5982af2f4e13cd1e259a2142d841c30a6beaa46d4fdc6c293fa20d21e7c74a8fb8e10e9e07019ba597a7321985f3e";"BALF";2013;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;1.1;"Reprovado por Frequência";60;"ENEM - Exame Nacional do Ensino Médio";2013;"Abandono";2014;"M"
"caca5456abfeac32744523eef93022266d512c8132e38a39d0424e684e0595808df8ffa80e57907ac19c303d7c6a9bb19c56c1779b4d5d9ec92ed04aa62f395e380951079356edcd3f6c09a41c2e4b5b9885f082d490fba8354e03fc3962783b0736f0b6fa00a1acdd4846de2e0a7cfc11b18b2685ea0f81945669a4977d562cd934f4bfa65a28ee55150e1b0a3a8372a42812a0a5b4ca8bf56caec7d66c01dd2086caf028e1eced11ec9f8b0876680c427d6dda85eed9cd904f3f1b25d3b20a82b1db9b0902b6dad17458d99d5aff31f882d88ef3b775bbc99c5fe613d0050d28e5064730470b4386c76d79c41aa4d4dd395960c8aafd5b230c3c4484636e83";"BALF";2013;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;1e+06;"Trancamento parcial";60;"ENEM - Exame Nacional do Ensino Médio";2013;"Cancelamento";2014;"M"
"6723d4781e807eadbb2b2c25d78dca9658973b8131ff81c54daaf6475a5786f296b074bfcf7164729812e2f13dedfec79f2deb0ff05f148aea0ca1f0e78c395e96daffc7dc3a72d102e1c9db5df87a6673d84bcb1037801ebd42d1663d70c3be1027f701e62a10c54cecd1807b7507fb127bb4838d4b210bded1b0ad70c5a6700d45981c3ca74e5b92b076bf73d5047ee07d1898e5557063cce086746dea9e3b56d721e92c9acf5d8ded9dc1e07b936c0620609f2f6361ca4089ac25914ffbaedcc501969169619825765cc6590b394eefaa24c0d8e7e7c1bbb7794f09d6941cee772db165ad3204899563f510e8a10a0af126d912218e1feaf0590c08a763d4";"BALF";2014;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";60;"ENEM - Exame Nacional do Ensino Médio";2013;"Cancelamento";2014;"M"
"e2ce03b46e867929942a3db71e180af71f714bb3f0644ae267e0943b547649ce6d2a8e833b5b471981bbca5d7833e33efbe5f6c86fba9fa388f1d95da273b9db10bb6aafc044f6375d3c624ece5773007f26638983dd8622c048749afbf2c9d6ae22d5cd16e8a8e0d7e6c6f166916a5ed133ea0381c2fa37375549bac84d60e2922bd8a021f7e12b62630c268879ddceaf8f54af750bf63d7870b887baf95bda1294524dbd7e94090ba45c2d6766e4b1b902266304f3f93a830cc30fd038cd0779fec1e53464a71ed58ed2fecd98792b57f76a7ea689d2060bfd93c57e30347fd30d76ded9b3048bf67d95fe934e2f455c1bf8992de7be0219c43fb82ae97581";"BALF";2013;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;1e+06;"Trancamento parcial";60;"ENEM - Exame Nacional do Ensino Médio";2013;"Transf. Interna Por Reopção de Curso";2014;"M"
"2f27245bfe5f52b24b726f3b502e5129213b7722ef0fd94f467d10358d18295398b7a45edde9421bb696bb6823eb89f6f55dfac0835bce0b18778db68277922e9f990bd0b7a21f65ad0ae1759185f2b7d05088943d3b4d74cfee857b004eb0c44a12cb1026c49b8f18901f4e402d85efeca4c3b7454a02e6ff0f96d45d0693848922ba8de58fac0e6bd7cbcbf25c719d8bfb114437832fae81e00ca29420a6f6a4b66c7ecf5085d1e49c117114a9ac797885f7b3c194dc84f9498b885630196afc7838924de669c3f7ea1bde51fa5f02be20d301c9ba8a84f3eae3164578f7998087672f8eaee07cbedeaa02239d0e95aac3ef99473a7ac1222b297f678f8e80";"BALF";2014;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";60;"ENEM - Exame Nacional do Ensino Médio";2013;"Cancelamento";2016;"F"
"ac9113bf8cce54df5f509456d318729f111e707732c03144a837019eb82e361dcca9739a70bfbe79917a211d13dca65c060d0e0ebfbfa5c9e6bfd5d6db653c924082d4cdee9875d2a118d2dbdb87ba4e48fafd49186a8a8eec78c42cb7f72b30a60eb9adfc27657c8942e80a12e4666aefd349bbe41501a7e69367dc30f3f99b99fa86f13ff50093b7b5486ee830431b3c9dcd3a8ea950d6162b85c554d9ad28c98dd30cfecf8c5d58fba592bbfb167d937d354bb2160971d6b6c563a7e61f18c805f643bf2aeeb577605aae879f5e22e135cd7a1a8b806899da9509eb3284afbf29d08ef88f7af1173f8968a3dd871bb6922c6eac9f1e27a107a8b212fed8ff";"BALF";2015;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;1.8;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2013;"Cancelamento";2016;"F"
"532be1ab16ecf41da28a28c0e43b5c4bf42b9442aa0215fc3b89a7ce9803275153e322bb17c75a99aeac343e14906572c7e9eb97194cdcce71fcef35161996dc0411550033fccdc84a3d7e6844c6f428148c392ab2a992a99b24033c1360f2d634cd17064d90c266f045ef9bfda9e8319efec70a5670e4c775a1cab087214800862bb6df7a513e4b57ef7a1122795fffc324a7df8124a7f34c034fd94aca1ce51b57902d8f9011ddd8ef66befa7a2a00b630367d6dd1aba5c353e323117a14f3e9c64ae50769649930ce6018a6ceaab705791b81386d98b594b918767380d3256bf994c327cb1500022efc8292a1db1185db3dc99d4316a896edcf76d73a8a76";"BALF";2013;"2. Semestre";"BA010801";"DESENHO TECNICO I";4;2;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2013;"Transf. Interna Por Reopção de Curso";2016;"F"
"75106509d4b23a6c50069acf7cc01e3f182e57cc26336bb309240ae93404fbcb4feb8180ac35fff219687e3979dcb42a2f022ae242d5a8244838bfc35ae644c21b76db60c6c9316748cf5703adacceaac5d2598883f0727763003abc114428333d6c830403867da1e63373e7fb93df3595d8da57a8ee4762f33430d746d78469dfd0d48408d563e58104adf7344ccae6371e1df821c9c0d018bbd468f52b48c80f89e5d9f5b15581f9e555ed02a1f103737649be61539be9160d6acc40ba3e4706d8d25f37300b5c7b137641d30d217f90db3ea94b0d84edc412bce5e4e7ce02266c6585dfcaf0f071dd469c507e3dd8340b879905c71fa645d1f294b831d37b";"BALF";2015;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;3.93;"Reprovado com nota";60;"ENEM - Exame Nacional do Ensino Médio";2013;"Transf. Interna Por Reopção de Curso";2016;"F"
