"MATR_ALUNO";"COD_CURSO";"ANO";"PERIODO";"COD_ATIV_CURRIC";"NOME_ATIV_CURRIC";"CREDITOS";"MEDIA_FINAL";"DESCR_SITUACAO";"ID_CURSO_ALUNO";"TOTAL_CARGA_HORARIA";"FORMA_INGRESSO";"ANO_INGRESSO";"FORMA_EVASAO";"ANO_EVASAO";"SEXO"
"907f97ba683e8a3b88c8a9833367cd654d8ebe907ad0e86274ffa6f5cafb451f953b8ed00a7d2fd884a063dafa208c10d88a559794c93ca464db1aeadec52404b5455c52bf166b8f2a1c1b7efc4d50f77a43ae38b3314ab03fd6582b740bf8652126a2f7a89eab0faf3d10876ecd04acce1771d4715f3d90f89c27dd98b416226609cc3cae7a177d4ce6bc49da7b5894a0ed48eaf999b18e76c6b14f6c20aea288fe9d038db81a326620b0c112ecb91ab6767de3afd45a26f48ffba3ef9d0605f4f3f7d2a9691332ce84892536d5674f834dfaf9386c4320f6812f256f7fa267dff0e304ce6780c97d1b84c910e2cfc210054b46798046db5fbc320ef0dca7ff";"BAEA";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";78;60;"Processo Seletivo - Vestibular";2006;"Formado";2015;"F"
"16f014f166b29341ee662d8e515a9feb7c77d516b310e78d79472210d557a498a6a451763f88ca12d07478a8be8da734ab33eb0dbb244a4a6df6a8cf23585640986cd6b34c8e783457af2b760f69ec56169f9ebfb3fe14bb54c45ef66b90fb4e0e6affacd1a6970c68c9d8e0d374fc2762fddde638d1d2a105408df7884b3540933e922c8a5272b598fd4f34afd136bdb75489fd79adeb7214108364e6a9dc668d361ddb7ba98a4c664ca61e754a858f052814fd75703c5a60d358e8502f3794b908168a9dbae11356e1f7f572665fc03661cccfc21aca4737b6f2d94a43113eab6d4719d34931f90ab62f7a18fe83789ec27321405e972d806dac19a5850de7";"BAEA";2007;"1. Semestre";"10801";"DESENHO TECNICO I";4;6.1;"Aprovado com nota";50;68;"Processo Seletivo - Vestibular";2006;"Transferido";2008;"F"
"a0ab6899079c619e37f1639c129e8877e18249cf617c0d4d23e72d6bdd01203c4801f36169afa972a43ca65bf39ca55503bb0cb79ba23ffebbfa28ea9b0ecbf7e338b8200a0e45b693bfeea2e324cacc303b52301e973acdb7f8e7d8f7e082158c3da306c5137b060c24085d7f09a60a22a89e653b2e3c31fa6e34db7cc30cfe1758ee301190abda3105431d1ffe7d77d62d64d50c9472a18dfff160c3376abbb2faffe24ccb6171dec4c828eb488e8b46d1881c0d5e62c227a259d67a5b7c1de4df4f60d805e9e0d9ed352508f8238a06cb5efac9fa02ba89c01838757f5826e749b661570522be6f9493da5a69509c5e2c665bfbc5a0d441e4e195084c81ec";"BAEA";2007;"1. Semestre";"10801";"DESENHO TECNICO I";4;7;"Aprovado com nota";54;68;"Processo Seletivo - Vestibular";2006;"Transferência";2009;"F"
"b26f06d3589b5ab78b33c0af45006e718f9010677e77ad1699b2ac7bf81fa3426031133fc452405f3700847741f82403192c3a11ec516d79520739af318a951041567dee6b4739d282b7a6c12ca07abc4ec08b2cca6da7416f16896ff352ed91075d2340b7e269c060ef98dc36471decbe1a1fcd862308e6cc137593312d9b64f1124d078a220c70c0c178ae3244f6782f2b86bc99794c5da4ba19ed6910d5fe2caaa3ddac5b4e83f8ef9cc777b2598ae0b25935c6f4c409c980c60d1bbe75cc91ed5bdcfa6c7a6b8bcd5e2212d75460949064f592fe36d7573610ad546802b5283f373d66de508fb0d9b41417e95894a76d34d0ceaa72f2ffb1d87efe8f07df";"BAEA";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";54;60;"Processo Seletivo - Vestibular";2006;"Transferência";2009;"F"
"ac2200a968e2cabb697edef27a1543581edc9485ec33221ffc6cdf7458e7240c1651991e1cd7bcfc10b934e0755d1d0fe17c150fde874f2767d1089d575fd3277a40b26fde3344f9644eebaa75f7bb9bfb486617e0b6ca4f3823115b2e4440be12cb92ab10ede6424f5e79c6b83c31c333afb1ab504721e2923e9a121c7e245bb6a7639d3a7c080ebd8a6a4f67d9cc78644fa6f1976b93a101bb412239fd7eacd244a176d76b6aa07c10ce5e8c9a81684de2e1c470a9c758c08f115b063b2af6936a4b9a8bcb811dfd8e93acd8af3f919b8e842a2f0dd182b76130995e9cce455eed2f2e54c2039e3623590b1ad3ec1d4342053a31f653c1c9ac17a22bdf753e";"BAEA";2007;"1. Semestre";"10801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";59;68;"Processo Seletivo - Vestibular";2006;"Abandono";2014;"M"
"2d80426b5694746f0f0c1f9a02dac0d85a8f375e639ad71ad1bbc20376d25c51935ea2f1361f8ddc2e4e50a313069eb97cfc517e46783faa2945b6658724eb950840546cef3daeec44b951d39b8fba764d5d860ee58dfa7f8ca6428141f915b92961b34370f22d77c75391663686fc5db44c6146eca95e0ae3ba1e15c2aa6d6047e68fb26b52dcb06505ca530cd69386dce8205abcbf7421488469d5ef4cce4a475a2df710e1192eebd1d12c1355512859a6de2b26a762727c489444c783c1a64e51067dc0faaf36a950a1798a3bb9af5f8e23b39808df758e5f0ff49dc2bb5b97a431ea8d9950a5298c8f0da71ec7d5fe61d7af2589788d9d980beff996b0ac";"BAEA";2007;"2. Semestre";"10801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";59;68;"Processo Seletivo - Vestibular";2006;"Abandono";2014;"M"
"73bbbe8e9444447667ee7dfe03f8bd82f2093d6d790fb370d197ee1687521dcaa3105d901504725f0d451ddc02bd12f972063a2bb221f178bd7857519b83a17b27ed758b629594b6a2d29e45bcb9733a69c84054cf7f3c31bd9fca34a79df4d68cad19597b89601eca44d651bcc7ec134138876b306f74a241d655df8710935cf23c705d4ba5bdb806c14732f4083c350c3e1e0541d7e69cf3cd631b2bc8c43f5055d096f4040af11a00d18dc48bf5c2fbcf76462316047b08034735f7eaf9f73996e49de11a64077e3f446ed41bdd158410b8e54c6ec151ff0bfd161a81a6200e81cc5785b2833c6bb965629df38e95827e0a1e6dd4c6fa60c240471bc702b3";"BAEA";2008;"2. Semestre";"10801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";59;68;"Processo Seletivo - Vestibular";2006;"Abandono";2014;"M"
"ee0b867b53404a60ee155b41b45146d6afc4856ce9299458acb1ed255285156602543a749c7aa7bc38d1d5266909a9bfbfd2af61fe7917813a55175c5afde1f2d50b17d2ea513ee87efd0b9b98417fdbe144307536b600b3cc54073d111887fc600da6b65bccc8da8955515fa8887c66d5bfddd3b02e45ec4ac85c3b7653b2ed908bd9fdc72f65d5b6a73f825187188bb22f08e35e0b85e3885a7e508622ad294bb8cadf0c70111bf7d51452dd78c12991a9ebef8d3f73a2618cdb31e53c3399c7a11c0a6b7f01385f0c340bdea1c81fbf4efd379bc03921d66e3be5d73a33aeb7c2514ead2bc1bb94d4dabfad15ad2f43f3fab32287ee8525accd5a6fe4fc98";"BAEA";2011;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Reprovado por Frequência";59;60;"Processo Seletivo - Vestibular";2006;"Abandono";2014;"M"
"9943fb34dd32e8692bfae5eb04a81993c3c67a2b31ff97fe3a0ead86d4f6dc867fcfbb8b76ba6877201140a14bd434451345ff843d6978675329f19b732af5ce3f14d2db3e5d2bc375e2f6e15cbceb004963d4e09a394edfd3bb5920e594d7021c76b10f8379b0b659441fb3a29c297db6b421ee8c072a02b54a5879085aa33a4eabc316b609413229862713d6b4fe3be87eb25ea759782b9a2de360aa947cd796a8af25e86a646287b6a401b54c80d7f26392133fb839ff4865abce7bf49b32fde01f7be01f7e4c7822da58e408741317dbe877606ed037e5420013961b2a47cfdd83b019a80a40e272e076322b6b190566325ea5d830a47c42c42e02fd34c6";"BAEA";2007;"1. Semestre";"10801";"DESENHO TECNICO I";4;6.1;"Aprovado com nota";72;68;"Processo Seletivo - Vestibular";2006;"Abandono";2009;"F"
"ac51b4e2d22c4fbf629250ff15a1b8ac52e298d9b522ed93e2678f6b7b301aa9840473c87edd79ab331a20f9c764ad5a925750e87621dacf4dcf61ee5537fcd57f4724056c7bc0374c04c68e38f68e22685597052c99a60891a1be68b06f76a8c708125a543923936dd59e54ffa7cc90f6489dbca88f4d8ba3b083dcc7385ffb6dc1bfe41fc6fa0aa275e23c0abd19f798050fd78c3cc264f42ff62cbf355d796aa498481ab6d4dc44665b6131670600e1399c2000c2fd520dbd33f6f1131338487097733d714bc761658e11d44b61ca1791be024c4b867e5cb9775bd845c823df0e7bf717f17f28fd888d94e1c5220b45c392168d18b5903786dad16692d461";"BAEA";2009;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;0;"Aproveitamento";72;60;"Processo Seletivo - Vestibular";2006;"Abandono";2009;"F"
